USER1_ID,USER2_ID
0,12751
1,13022
1,26670
1,38898
1,39161
2,17385
3,30059
5,1851
5,10655
6,3688
7,6996
7,21217
7,35119
7,45112
8,7294
8,34270
8,37837
9,20250
9,25164
10,40963
14,19791
15,6620
16,10829
16,23360
16,26322
16,46544
17,37521
18,20834
18,30011
19,14092
19,14813
19,18910
20,3197
20,22955
20,32800
20,39727
20,45004
21,46352
23,46455
23,49729
24,14523
24,22326
24,41281
24,42411
26,27049
27,6734
27,8974
27,49806
28,1437
28,13542
28,28789
28,46026
29,12835
29,37519
30,8733
30,19799
30,36852
31,3347
31,12938
31,43981
32,28677
32,42918
34,8095
34,16287
34,34952
35,29384
35,30138
35,32379
36,49852
37,41098
39,12571
39,16495
39,17746
39,48205
40,46152
41,7381
41,37497
42,10554
43,22936
43,31023
43,37597
44,10566
44,12965
44,32566
45,44838
46,3570
46,29033
47,17383
48,11057
48,19575
48,44359
48,46274
49,1360
49,7465
49,33370
50,6900
50,21824
50,24560
51,34887
51,43738
51,46025
52,14966
52,42582
53,21120
54,3821
54,30799
54,44619
55,7883
55,24511
55,38594
55,47281
56,14969
57,4058
57,31554
57,49175
57,49461
58,46681
58,46772
59,3824
59,31685
60,3488
60,31376
61,2921
61,24076
61,40747
62,488
62,27806
62,37457
62,41297
62,49728
64,23687
64,29382
65,22292
65,41184
65,47029
66,14058
66,20881
66,34762
66,48042
66,49576
67,1607
67,5842
68,15676
68,32869
68,42805
69,26708
70,8935
70,26136
71,25315
71,47144
72,30223
72,39490
73,34532
74,6924
74,18623
74,19523
74,30158
75,13908
75,17403
75,36750
77,35481
78,5006
78,22742
78,35934
79,40048
81,23953
82,16740
82,23328
82,35431
82,37513
83,5804
83,15369
83,16677
83,27285
84,28831
84,31239
86,3218
86,9955
87,10346
89,3777
89,18587
89,39726
89,44446
90,4814
90,24734
90,26591
90,45916
92,3739
92,27351
94,2492
94,8698
95,26112
95,29849
96,20236
96,27434
98,22880
98,28847
98,37394
99,29539
99,37429
99,42409
100,8274
100,16266
100,21407
100,45854
101,27614
101,31199
101,35807
102,17229
102,21043
102,29248
102,42499
103,23729
104,11712
105,17557
105,21745
106,34532
107,7133
107,25176
108,12570
108,23455
108,29222
110,49268
111,5867
111,13248
112,8326
112,27220
112,32894
112,44034
113,1497
113,1963
113,15366
114,7876
116,28581
116,38775
116,41839
117,48712
118,17082
118,38773
119,22699
120,1339
120,8293
120,9399
121,2787
121,23541
121,33904
123,14583
125,24731
126,5063
126,10994
126,12544
126,36666
128,36377
129,18597
129,20866
129,24628
129,37656
130,2993
132,653
132,2396
133,14406
133,20742
134,23134
134,35102
134,40782
135,14516
137,35324
138,24037
141,4410
141,26830
142,22371
142,43227
143,24318
143,24703
143,39550
143,43840
144,14603
145,13422
145,28110
146,3508
146,31193
147,30686
151,11822
151,20189
151,23367
151,40592
152,14103
152,18507
152,35109
153,23161
153,25984
154,17248
154,20646
154,37432
155,4350
155,28213
155,31172
155,32699
155,44694
155,49577
156,1938
156,25905
157,4394
157,13850
157,21594
157,24679
157,49660
159,44884
159,49439
161,25481
162,9474
162,26522
163,18412
164,14122
164,25359
164,39049
164,46535
166,19968
167,2880
167,39824
168,45407
169,33494
170,832
170,11512
171,789
171,2599
172,9335
172,17327
173,43262
173,49121
175,15043
175,26280
176,21075
176,40675
177,21813
178,41484
179,39255
179,44032
180,41839
181,1891
181,10337
181,21318
181,25347
182,2971
182,12038
182,17520
183,15962
183,33762
183,45630
184,8174
184,34000
185,3929
186,28806
187,666
187,6559
187,31610
187,35348
187,37363
187,42528
188,35365
188,45809
189,27264
189,31567
189,35053
190,46363
190,46457
191,28113
191,37108
192,21842
192,26672
193,37207
195,17256
195,46449
196,40482
197,16541
197,41009
198,44626
199,4968
199,36057
199,38518
199,42655
200,17177
201,35674
201,37374
201,38176
202,31174
202,46695
203,38977
205,17059
205,28655
206,36316
207,42947
208,18311
208,21807
208,23709
208,28964
209,169
209,37857
211,30007
212,29257
212,32805
214,17551
214,21038
214,25255
214,28912
214,47683
215,9290
215,22516
215,27029
216,5151
218,7022
218,12819
218,33952
219,9362
219,23250
219,34614
220,12172
220,35891
221,7549
221,17737
221,17831
221,43803
222,12411
222,29497
222,38759
223,5617
223,27172
224,465
224,49560
225,7987
226,16393
226,25364
227,24440
228,26030
229,49783
230,5466
230,6618
230,26537
230,32379
232,26744
232,38915
232,39369
233,2658
233,16776
234,14887
234,31002
234,42645
234,42897
235,6166
235,22403
235,26483
235,26499
236,2568
236,5727
236,39037
237,12401
237,15146
237,26375
238,16723
238,18075
238,24851
240,13680
241,24996
241,26727
242,6531
242,23637
242,31709
243,14896
244,403
244,46957
245,41912
247,8506
247,49855
249,14850
250,8203
250,28901
250,40078
250,40262
251,9704
252,14750
252,16043
252,39214
252,43646
252,47700
252,48592
253,48938
254,32929
254,40844
255,3116
255,10769
255,29668
255,34158
257,21138
258,7690
258,11307
258,41255
259,26440
259,49126
259,49721
260,170
260,740
260,28394
262,49136
263,10794
263,34964
263,46340
264,8878
264,9714
264,16601
264,31139
264,38217
264,49270
265,1498
265,39554
266,2437
266,18922
267,12422
267,33698
268,925
268,24555
268,48377
269,14396
269,15369
269,36340
270,5479
270,5545
270,15053
270,47267
271,30753
272,10637
272,40705
273,38056
274,24533
274,28138
274,37200
275,6033
275,6593
275,43801
275,47480
276,22434
276,26485
276,30248
276,40948
277,2746
277,13868
277,33626
278,41908
278,45410
279,16696
280,8445
280,28527
280,30453
280,49353
281,27736
281,31737
281,37197
281,41301
282,6349
283,22005
283,29038
284,16778
284,32180
284,35173
285,202
285,38077
286,1305
286,19732
286,33743
287,28986
288,2938
288,22636
288,32241
289,35230
289,43129
290,14319
291,2686
291,29190
291,38183
292,33848
293,7626
293,23277
293,35782
293,43092
293,48826
294,4690
294,15296
294,24944
295,33589
295,40350
296,17314
296,26038
296,29074
298,20883
298,22075
298,38049
299,29216
299,36333
299,41132
299,42596
300,5282
300,48303
302,27331
302,34130
303,29343
303,38325
304,22489
305,32550
306,25127
307,33498
308,2612
308,4989
308,38314
308,41149
309,12094
309,23375
309,30350
309,37681
310,9965
310,22844
310,35616
310,39007
312,17552
312,25588
312,43126
313,8511
314,7469
314,22256
314,24694
315,17270
315,29931
315,32890
316,13088
316,28035
316,33167
316,33171
316,38395
318,40133
319,47847
321,4323
322,25814
322,26717
322,47064
324,507
324,13841
324,32120
324,37062
324,46654
325,21160
325,25473
326,23161
328,29055
329,353
330,13895
330,31373
330,32681
330,40674
330,47612
331,14334
332,7496
332,42697
333,6548
333,6732
333,7242
333,12022
334,24881
334,29957
335,5637
335,20722
336,20407
336,29114
336,29680
336,47473
337,23737
337,44559
340,8350
340,22302
340,29158
342,8861
342,27658
342,41703
343,27009
344,18215
344,20221
345,30551
346,29033
348,12447
348,22202
348,46804
349,19135
349,41684
350,5901
350,14364
350,24776
350,26843
351,14592
352,27709
352,29392
352,45786
353,2105
353,6334
353,12177
353,12500
353,48789
354,9276
354,13510
354,48971
355,1466
355,16078
355,30297
356,843
356,2876
357,7636
357,26207
358,15062
358,30832
358,44866
360,42928
361,40987
361,43177
362,40815
363,3091
363,40940
364,47992
365,2125
365,42218
366,21120
367,3844
367,11571
367,48849
368,23760
368,28621
368,28723
370,21566
370,38065
371,46987
372,850
372,17044
372,24825
373,41030
373,46991
375,10064
375,27591
376,46151
378,19455
378,40172
378,40437
378,42881
379,13034
380,6751
380,26996
381,12615
382,44801
383,3813
384,17056
384,20745
384,37513
384,40111
384,41286
384,42940
385,7360
386,4626
386,11429
387,14083
387,15006
387,24235
387,30518
388,16888
388,29996
388,36625
389,4702
389,18667
390,24625
390,41909
391,28101
391,32571
392,17596
393,22835
393,37226
394,11048
394,40726
395,152
395,23968
396,45953
398,5128
398,20195
399,11125
399,43482
401,31937
401,35080
402,23222
402,40439
402,41560
403,3820
403,14487
403,30796
403,31207
403,37643
404,23224
404,25392
404,48221
404,48771
405,13457
405,25562
406,8820
406,11817
406,39635
406,48884
407,17682
407,23000
408,28096
408,44207
409,30344
410,2562
410,6925
411,35741
411,37672
412,11021
412,16737
412,41528
414,23579
414,43593
415,27876
415,40926
417,40002
417,45806
419,25494
420,6037
420,34898
422,13272
425,8718
426,4312
426,17312
426,45470
426,48202
427,8955
428,29846
429,4759
429,34652
431,26682
431,29273
431,29435
432,33339
434,32237
434,46183
435,3535
435,16475
435,27532
436,37482
436,48941
437,23744
437,39702
438,15053
438,27904
440,9749
440,33070
440,35912
441,12926
442,24803
444,18751
444,35028
445,12617
445,21136
446,23604
446,23609
447,31063
448,14756
448,48202
450,3011
451,15650
451,36512
452,15747
452,36650
453,2863
453,17889
454,15406
455,26432
456,39776
457,41679
457,48232
457,49617
458,38767
459,30635
459,44733
459,45937
459,47269
460,2435
460,4888
460,7846
460,35613
461,2248
461,23223
461,24734
461,25357
462,35737
462,45233
463,2591
463,3859
463,4935
463,40435
464,29388
464,33782
465,7027
465,21453
466,21316
466,36000
467,5147
467,22960
468,28887
468,49474
469,28451
469,36816
470,10105
471,17612
471,21570
471,29230
471,36342
473,39733
473,47050
474,12238
474,24053
475,27435
475,30377
475,37659
476,735
477,11009
477,17508
477,38487
478,16591
478,31829
479,6354
479,18886
479,19021
479,41144
479,43871
480,31682
480,34481
481,14566
481,14998
481,16639
481,18797
481,23841
481,30138
482,3087
482,39806
482,42232
482,49138
484,7097
484,7201
484,14519
484,16904
485,33126
486,2056
486,36699
487,28031
487,49664
488,5739
489,8203
489,18389
489,30153
490,18018
490,44361
493,11558
494,2498
494,25360
494,31287
495,5371
495,10577
498,17058
498,40894
499,11872
500,8570
500,14405
500,45543
501,2027
501,18409
501,45231
503,36930
504,1422
504,33551
504,34285
505,22851
505,25768
505,36277
505,49137
506,1896
506,12100
507,21959
507,28384
508,14436
508,34740
509,9316
510,10117
510,21921
510,25490
510,47889
511,7927
511,25913
511,40852
511,44639
512,30284
512,49002
513,8087
513,27340
513,34629
514,30057
515,21634
515,37267
516,14497
516,15879
516,21768
516,35735
516,38022
517,12236
518,302
518,9079
519,26325
521,21428
521,32125
522,12234
522,13796
523,11283
523,11811
523,22053
523,43469
524,6868
525,43613
526,16171
526,22567
526,35840
527,13099
527,20033
527,24118
528,26162
528,46476
529,5070
529,12073
529,36677
529,42785
530,28764
531,16328
531,16441
531,44828
532,2006
533,8537
534,19937
534,24114
534,24229
534,27991
535,14349
535,29039
536,23268
536,46522
537,31133
540,26473
540,32004
541,75
541,11994
542,8854
542,15186
542,25638
542,40347
543,33028
544,3166
544,5663
544,44953
544,49611
545,4933
545,29582
